"papers_name","papers_url","papers_autor","papers_periodo"
"Manejo Integrado de Plagas y Agroecología. Número 69. Revista Completa","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7632","Unknown author","2003"
"Manejo Integrado de Plagas y Agroecología. Número 71. Revista Completa","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7637","Unknown author","2004"
"Manejo Integrado de Plagas y Agroecología. Número 75. Revista Completa","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7650","Unknown author","2005"
"Manejo Integrado de Plagas y Agroecología. Número 78. Revista Completa","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7647","Unknown author","2006"
"Manejo Integrado de Plagas y Agroecología. Número 74. Revista Completa","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7644","Unknown author","2005"
"Manejo Integrado de Plagas y Agroecología. Número 76. Revista Completa","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7645","Unknown author","2005"
"Manejo Integrado de Plagas y Agroecología. Número 67. Revista Completa","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7620","Unknown author","2003"
"Manejo Integrado de Plagas y Agroecología. Número 72. Revista Completa","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7639","Unknown author","2004"
"Manejo Integrado de Plagas y Agroecología. Número 64. Revista Completa","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7543","Unknown author","2002"
"Manejo Integrado de Plagas y Agroecología. Número 79-80. Revista Completa","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7649","Unknown author","2007"
"Manejo Integrado de Plagas y Agroecología. Número 73. Revista Completa","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7641","Unknown author","2004"
"Las escuelas de innovación agroecologica: experiencia de integración y gobernanza socioambiental en la región Trifinio (Guatemala-El Salvador-Honduras)","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7883","Suchini Ramírez, José Gabriel; Padilla Castillo, Danilo","2013-11-04"
"Artículo II. Prácticas agroecológicas para mejorar la producción y la seguridad alimentaria en huertos caseros: I. Caracterización de huertos caseros en Nicaragua Central","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7665","Arrieta Bolaños, Sebastián","2015"
"Artículo I. Análisis de la estructura y composición de los sistemas agroforestales de los usos de suelo de café y cacao en los departamentos Norte y Noreste de Haití","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/8910","Lohier, Virgiles","2016"
"Artículo II. Contribución de los sistemas agroforestales con cacao y café en la economía y nutrición familiar en los departamentos Norte y Noreste de Haití","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/8911","Lohier, Virgiles","2016"
"Guía para el sondeo agroecológico de suelos y cultivos","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7900","Padilla, Danilo; Suchini, José Gabriel","2013-06-05"
"Guía para el sondeo agroecológico de suelos y cultivos","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/2265","Padilla, Danilo","2013"
"Bob Hart: pionero de la agroecología en Latinoamérica","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5833","Moreno, R.","2002"
"Artículo I. Prácticas agroecológicas para mejorar la producción y la seguridad alimentaria en huertos caseros (HC)","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7664","Arrieta Bolaños, Sebastián","2015"
"Calendarización, uso racional, sustitución y rediseño: una comparación entre horticultores orgánicos y convencionales en Costa Rica","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5849","Clavijo, Neidy; Prins, Cornelis; Sánchez Garita, Vera; Soto, Gabriela; Staver, Charles","2006"
"La identificación y distribución de los salivazos de la caña de azúcar y los pastos (Homoptera: Cercopidae) en Costa Rica","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6456","Thompson, V.; León González, R.","2005"
"Reconocimiento de macromicetos asociados al cultivo de Guadua angustifolia en Caldas, Colombia","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6753","Restrepo F, G.M.; Vélez A, P.E.; Botero A, P.A.; Pulido V, C.","2005"
"Artículo III. Prácticas agroecológicas para mejorar la producción y la seguridad alimentaria: validación de prácticas más efectivas","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7666","Arrieta Bolaños, Sebastián","2015"
"Falsa mancha angular del frijol: una enfermedad que avanza en Costa Rica","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6314","Barrantes S., Walter; Araya F., Carlos Manuel; Esquivel H., Alejandro","2006"
"Selección de cepas de Bacillus thuringiensis con efecto nematicida","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6798","Márquez Gutiérrez, María Elena; Fernández Gonzálvez, Emilio","2006"
"Caracterización del huerto mixto tropical La Asunción, Masatepe, Nicaragua","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5870","Víquez, Edgar; Prado, Aryeris; Oñoro, Pedro; Solano A, Romeo","1994"
"Ing. Agr. Oscar Demetrio Beingolea Guerrero (1920-2001): entomólogo agrícola y cultor de principios bioecológicos","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6410","Aguilar Fenández, Pedro G.","2006"
"Mancha foliar de Chamaedorea elegans en Corrientes, Argentina","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6530","Cúndom, María A.; Cabrera, María G.; Cejas, Patricia","2006"
"El agroecosistema café orgánico en México","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6135","Escamilla P, E.; Ruiz R, O.; Díaz P, G.; Landeros S, C.; Platas R, D.E.; Zamarripa C, A.; González H, V.A.","2005"
"Análisis de los estilos de agricultura ecológica","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5772","Martínez Castillo, R.","2004"
"¿Existe la tolerancia genética del cacao (Theobroma cacao) a Rosellinia bunodes y Rosellinia pepo?","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6960","García Córdoba, J.; George, A.; Argyle, T.; Hoopen, M. ten; Krauss, U.","2005"
"Potencial de depredación de Hypsipyla grandella por hormigas en cafetales de Costa Rica","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6681","Varón, E.H.; Barbera, N.; Hanson, Paul; Carballo, Manuel; Hilje Quirós, Luko","2005"
"Reconocimiento fitosanitario en cinco variedades cultivadas de macadamia (Macadamia integrifolia Maiden et Betche) en la zona cafetera colombiana","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6755","Villegas García, C.","2005"
"Variação populacional de Phyllocnistis citrella e parasitismo em variedades de citros sob manejo orgánicoVariation of Phyllocnistis citrella population and parasitism in citrus cultivars under organic management","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6919","Efrom, Caio F.S.; Redaelli, Luiza R.; Diefenbach, Lúcia M.G.","2006"
"Las herramientas moleculares en el control biológico","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6483","Alvarez, J.M.; Menalled, F.; Hoy, M.A.","2005"
"Uso de trampas con kairomona para el manejo de la broca de la areca (Coccotrypes carpophagus)(Hormung) en la palmera Chrysalidocarpus lutescens var. areca","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6893","Villalobos, Ericka; Blanco Metzler, Helga","2006"
